イシュー ID,説明,状態,重要度,ストーリー ポイント,プロジェクト パス,場所の種類,パス,線,列,インシデント ID,ヘルプ リンク,アセンブリ名,アセンブリ バージョン,アセンブリ公開キー,スニペット
NuGet.0003,NuGet パッケージの機能は、フレームワークの参照に含まれています,Active,Mandatory,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,System.ComponentModel.Annotations 4.5.0,,,,,"System.ComponentModel.Annotations, 4.5.0  レコメンデーション：  新しいフレームワーク参照に含まれるパッケージ機能"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,System.ComponentModel.Composition 4.5.0,,,,,"System.ComponentModel.Composition, 4.5.0  レコメンデーション：  Remove System.ComponentModel.Composition, and replace with new package System.ComponentModel.Composition 10.0.1"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,System.Configuration.ConfigurationManager 4.5.0,,,,,"System.Configuration.ConfigurationManager, 4.5.0  レコメンデーション：  Remove System.Configuration.ConfigurationManager, and replace with new package System.Configuration.ConfigurationManager 10.0.1"
NuGet.0003,NuGet パッケージの機能は、フレームワークの参照に含まれています,Active,Mandatory,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,System.Data.DataSetExtensions 4.5.0,,,,,"System.Data.DataSetExtensions, 4.5.0  レコメンデーション：  新しいフレームワーク参照に含まれるパッケージ機能"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,System.Diagnostics.PerformanceCounter 4.5.0,,,,,"System.Diagnostics.PerformanceCounter, 4.5.0  レコメンデーション：  Remove System.Diagnostics.PerformanceCounter, and replace with new package System.Diagnostics.PerformanceCounter 10.0.1"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,System.DirectoryServices 4.5.0,,,,,"System.DirectoryServices, 4.5.0  レコメンデーション：  Remove System.DirectoryServices, and replace with new package System.DirectoryServices 10.0.1"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,System.Drawing.Common 4.5.1,,,,,"System.Drawing.Common, 4.5.1  レコメンデーション：  Remove System.Drawing.Common, and replace with new package System.Drawing.Common 10.0.1"
NuGet.0003,NuGet パッケージの機能は、フレームワークの参照に含まれています,Active,Mandatory,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,System.IO 4.3.0,,,,,"System.IO, 4.3.0  レコメンデーション：  新しいフレームワーク参照に含まれるパッケージ機能"
NuGet.0003,NuGet パッケージの機能は、フレームワークの参照に含まれています,Active,Mandatory,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,System.IO.Compression 4.3.0,,,,,"System.IO.Compression, 4.3.0  レコメンデーション：  新しいフレームワーク参照に含まれるパッケージ機能"
NuGet.0003,NuGet パッケージの機能は、フレームワークの参照に含まれています,Active,Mandatory,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,System.IO.FileSystem.Primitives 4.3.0,,,,,"System.IO.FileSystem.Primitives, 4.3.0  レコメンデーション：  新しいフレームワーク参照に含まれるパッケージ機能"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,System.IO.Packaging 4.5.0,,,,,"System.IO.Packaging, 4.5.0  レコメンデーション：  Remove System.IO.Packaging, and replace with new package System.IO.Packaging 10.0.1"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,System.IO.Pipelines 4.5.3,,,,,"System.IO.Pipelines, 4.5.3  レコメンデーション：  Remove System.IO.Pipelines, and replace with new package System.IO.Pipelines 10.0.1"
NuGet.0003,NuGet パッケージの機能は、フレームワークの参照に含まれています,Active,Mandatory,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,System.Memory 4.5.3,,,,,"System.Memory, 4.5.3  レコメンデーション：  新しいフレームワーク参照に含まれるパッケージ機能"
NuGet.0003,NuGet パッケージの機能は、フレームワークの参照に含まれています,Active,Mandatory,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,System.Net.Http 4.3.4,,,,,"System.Net.Http, 4.3.4  レコメンデーション：  新しいフレームワーク参照に含まれるパッケージ機能"
NuGet.0003,NuGet パッケージの機能は、フレームワークの参照に含まれています,Active,Mandatory,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,System.Numerics.Vectors 4.5.0,,,,,"System.Numerics.Vectors, 4.5.0  レコメンデーション：  新しいフレームワーク参照に含まれるパッケージ機能"
NuGet.0003,NuGet パッケージの機能は、フレームワークの参照に含まれています,Active,Mandatory,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,System.Runtime 4.3.0,,,,,"System.Runtime, 4.3.0  レコメンデーション：  新しいフレームワーク参照に含まれるパッケージ機能"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,System.Runtime.CompilerServices.Unsafe 4.5.2,,,,,"System.Runtime.CompilerServices.Unsafe, 4.5.2  レコメンデーション：  Remove System.Runtime.CompilerServices.Unsafe, and replace with new package System.Runtime.CompilerServices.Unsafe 6.1.2"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,Implem.Pleasanter\Implem.Pleasanter.csproj,File,Implem.Pleasanter\Implem.Pleasanter.csproj,,,System.Security.AccessControl 4.5.0,,,,,"System.Security.AccessControl, 4.5.0  レコメンデーション：  Remove System.Security.AccessControl, and replace with new package System.Security.AccessControl 6.0.1"
